iter	Passed	Remaining
487	651	683
488	652	681
489	653	680
490	654	678
491	656	677
492	657	675
493	659	675
494	661	675
495	663	673
496	664	672
497	666	671
498	667	670
499	669	669
500	672	669
501	674	669
502	677	669
503	678	668
504	680	667
505	682	666
506	685	666
507	687	665
508	688	664
509	690	663
510	691	661
511	692	660
512	693	658
513	695	657
514	696	655
515	697	654
516	698	653
517	700	651
518	701	650
519	702	648
520	703	647
521	705	645
522	706	644
523	707	642
524	708	640
525	709	639
526	710	637
527	712	636
528	713	635
529	714	633
530	716	632
531	718	632
532	719	630
533	720	629
534	721	627
535	723	625
536	724	624
537	726	623
538	727	622
539	729	621
540	733	622
541	735	621
542	737	620
543	739	619
544	741	618
545	742	617
546	743	615
547	745	614
548	746	613
549	747	611
550	748	610
551	750	609
552	752	608
553	754	607
554	755	606
555	757	605
556	759	603
557	760	602
558	762	601
559	763	600
560	765	598
561	766	597
562	767	595
563	768	594
564	769	592
565	770	590
566	771	589
567	773	587
568	777	588
569	778	587
570	780	586
571	781	584
572	782	583
573	783	581
574	784	579
575	785	578
576	786	576
577	788	575
578	789	573
579	791	572
580	792	571
581	793	570
582	794	568
583	796	567
584	797	565
585	798	564
586	799	562
587	800	561
588	802	559
589	803	558
590	804	556
591	805	555
592	806	553
593	807	552
594	808	550
595	810	549
596	811	547
597	812	546
598	813	544
599	814	543
600	815	541
601	816	540
602	818	538
603	819	537
604	822	536
605	823	535
606	824	533
607	825	532
608	827	531
609	828	529
610	829	527
611	830	526
612	831	524
613	832	523
614	833	521
615	834	520
616	836	518
617	837	517
618	838	516
619	839	514
620	841	513
621	842	511
622	843	510
623	844	508
624	846	507
625	847	506
626	849	505
627	850	504
628	852	502
629	853	501
630	854	499
631	855	498
632	856	496
633	857	495
634	858	493
635	861	492
636	863	491
637	865	490
638	866	489
639	868	488
640	869	487
641	871	485
642	873	484
643	874	483
644	876	482
645	877	480
646	879	479
647	880	478
648	882	477
649	884	476
650	886	475
651	887	473
652	889	472
653	892	472
654	893	470
655	895	469
656	896	468
657	897	466
658	899	465
659	901	464
660	902	463
661	904	461
662	905	460
663	907	458
664	908	457
665	909	456
666	910	454
667	911	453
668	913	451
669	914	450
670	916	449
671	918	448
672	920	447
673	921	445
674	922	444
675	924	442
676	925	441
677	927	440
678	928	439
679	929	437
680	931	436
681	932	434
682	933	433
683	934	431
684	935	430
685	936	428
686	937	427
687	938	425
688	940	424
689	941	423
690	943	421
691	944	420
692	946	419
693	947	417
694	948	416
695	949	414
696	951	413
697	952	412
698	954	410
699	955	409
700	957	408
701	958	407
702	959	405
703	961	404
704	962	402
705	963	401
706	964	399
707	965	398
708	967	396
709	968	395
710	969	394
711	970	392
712	971	390
713	972	389
714	973	388
715	974	386
716	976	385
717	977	383
718	978	382
719	980	381
720	981	379
721	982	378
722	984	377
723	987	376
724	988	375
725	990	373
726	991	372
727	993	371
728	994	369
729	995	368
730	996	366
731	998	365
732	999	363
733	1000	362
734	1001	361
735	1002	359
736	1003	358
737	1004	356
738	1006	355
739	1008	354
740	1009	352
741	1010	351
742	1011	349
743	1012	348
744	1013	347
745	1015	345
746	1016	344
747	1017	342
748	1018	341
749	1019	339
750	1021	338
751	1022	337
752	1023	335
753	1024	334
754	1025	332
755	1026	331
756	1027	329
757	1028	328
758	1029	326
759	1030	325
760	1031	324
761	1032	322
762	1034	321
763	1035	319
764	1036	318
765	1037	316
766	1038	315
767	1039	314
768	1040	312
769	1042	311
770	1043	309
771	1044	308
772	1045	306
773	1046	305
774	1047	304
775	1048	302
776	1049	301
777	1051	299
778	1052	298
779	1053	297
780	1054	295
781	1055	294
782	1056	292
783	1057	291
784	1058	289
785	1059	288
786	1060	287
787	1062	285
788	1063	284
789	1064	283
790	1065	281
791	1066	280
792	1067	278
793	1069	277
794	1070	275
795	1071	274
796	1072	273
797	1073	271
798	1074	270
799	1075	268
800	1076	267
801	1078	266
802	1079	264
803	1080	263
804	1081	261
805	1082	260
806	1083	259
807	1084	257
808	1085	256
809	1086	254
810	1087	253
811	1089	252
812	1090	250
813	1091	249
814	1093	248
815	1094	246
816	1095	245
817	1097	244
818	1098	242
819	1099	241
820	1100	240
821	1102	238
822	1103	237
823	1104	235
824	1106	234
825	1107	233
826	1108	231
827	1109	230
828	1110	229
829	1111	227
830	1112	226
831	1114	224
832	1115	223
833	1116	222
834	1117	220
835	1118	219
